"aaa","NG","Ghotuo"
"aab","NG","Alumu-Tesu"
"aac","PG","Ari"
"aad","PG","Amal"
"aae","IT","Albanian, Arbëreshë"
"aaf","IN","Aranadan"
"aag","PG","Ambrak"
"aah","PG","Arapesh, Abu'"
"aai","PG","Arifama-Miniafia"
"aak","PG","Ankave"
"aal","CM","Afade"
"aal","NG","Afade"
"aam","TZ","Aramanik"
"aan","BR","Anambé"
"aao","DZ","Arabic, Algerian Saharan Spoken"
"aao","NE","Arabic, Algerian Saharan Spoken"
"aap","BR","Arára, Pará"
"aaq","US","Abenaki, Eastern"
"aar","DJ","Afar"
"aar","ER","Afar"
"aar","ET","Afar"
"aas","TZ","Aasáx"
"aat","GR","Albanian, Arvanitika"
"aau","PG","Abau"
"aaw","PG","Solong"
"aax","ID","Mandobo Atas"
"aaz","ID","Amarasi"
"aba","CI","Abé"
"abb","CM","Bankon"
"abc","PH","Ayta, Ambala"
"abd","PH","Manide"
"abe","CA","Abenaki, Western"
"abe","US","Abenaki, Western"
"abf","MY","Abai Sungai"
"abg","PG","Abaga"
"abh","AF","Arabic, Tajiki Spoken"
"abh","TJ","Arabic, Tajiki Spoken"
"abi","CI","Abidji"
"abj","IN","Aka-Bea"
"abk","GE","Abkhaz"
"abk","TR","Abkhaz"
"abl","ID","Lampung Nyo"
"abm","NG","Abanyom"
"abn","NG","Abua"
"abo","NG","Abon"
"abp","PH","Ayta, Abellen"
"abq","RU","Abaza"
"abq","TR","Abaza"
"abr","CI","Abron"
"abr","GH","Abron"
"abs","ID","Malay, Ambonese"
"abt","PG","Ambulas"
"abu","CI","Abure"
"abv","BH","Arabic, Baharna Spoken"
"abv","OM","Arabic, Baharna Spoken"
"abw","PG","Pal"
"abx","PH","Inabaknon"
"aby","PG","Aneme Wake"
"abz","ID","Abui"
"aca","CO","Achagua"
"acb","NG","Áncá"
"acd","GH","Gikyode"
"ace","ID","Aceh"
"acf","DM","Dominican Creole French"
"acf","GD","Grenadian Creole French"
"acf","LC","Saint Lucian Creole French"
"acf","TT","Trinidadian Creole French"
"ach","SS","Acholi"
"ach","UG","Acholi"
"aci","IN","Aka-Cari"
"ack","IN","Aka-Kora"
"acl","IN","Akar-Bale"
"acm","IQ","Arabic, Mesopotamian Spoken"
"acm","IR","Arabic, Mesopotamian Spoken"
"acm","SY","Arabic, Mesopotamian Spoken"
"acm","TR","Arabic, Mesopotamian Spoken"
"acn","CN","Achang"
"acn","MM","Achang"
"acp","NG","Acipa, Eastern"
"acq","DJ","Arabic, Ta'izzi-Adeni Spoken"
"acq","YE","Arabic, Ta'izzi-Adeni Spoken"
"acr","GT","Achi"
"acs","BR","Acroá"
"act","NL","Achterhoeks"
"acu","EC","Achuar-Shiwiar"
"acu","PE","Achuar-Shiwiar"
"acv","US","Achumawi"
"acw","ER","Arabic, Hijazi Spoken"
"acw","SA","Arabic, Hijazi Spoken"
"acx","KE","Arabic, Omani Spoken"
"acx","OM","Arabic, Omani Spoken"
"acx","TZ","Arabic, Omani Spoken"
"acy","CY","Arabic, Cypriot Spoken"
"acz","SD","Acheron"
"ada","GH","Dangme"
"adb","TL","Adabe"
"add","CM","Dzodinka"
"add","NG","Dzodinka"
"ade","GH","Adele"
"ade","TG","Adele"
"adf","OM","Arabic, Dhofari Spoken"
"adg","AU","Andegerebinha"
"adh","UG","Adhola"
"adi","CN","Luoba, Boga'er"
"adi","IN","Adi"
"adj","CI","Adioukrou"
"adl","IN","Adi, Galo"
"adn","ID","Adang"
"ado","PG","Abu"
"adp","BT","Adap"
"adq","GH","Adangbe"
"adq","TG","Adangbe"
"adr","ID","Adonara"
"ads","GH","Adamorobe Sign Language"
"adt","AU","Adnyamathanha"
"adu","NG","Aduge"
"adw","BR","Amundava"
"adx","CN","Tibetan, Amdo"
"ady","IL","Adyghe"
"ady","IQ","Adyghe"
"ady","JO","Adyghe"
"ady","MK","Adyghe"
"ady","RU","Adyghe"
"ady","SY","Adyghe"
"ady","TR","Adyghe"
"adz","PG","Adzera"
"aea","AU","Areba"
"aeb","TN","Arabic, Tunisian Spoken"
"aec","EG","Arabic, Sa'idi Spoken"
"aed","AR","Argentine Sign Language"
"aee","AF","Pashayi, Northeast"
"aek","NC","Haeke"
"ael","CM","Ambele"
"aem","LA","Arem"
"aem","VN","Arem"
"aen","AM","Armenian Sign Language"
"aeq","PK","Aer"
"aer","AU","Arrernte, Eastern"
"aeu","CN","Akeu"
"aeu","LA","Akeu"
"aeu","MM","Akeu"
"aeu","TH","Akeu"
"aew","PG","Ambakich"
"aey","PG","Amele"
"aez","PG","Aeka"
"afb","AE","Arabic, Gulf Spoken"
"afb","BH","Arabic, Gulf Spoken"
"afb","IQ","Arabic, Gulf Spoken"
"afb","IR","Arabic, Gulf Spoken"
"afb","KW","Arabic, Gulf Spoken"
"afb","OM","Arabic, Gulf Spoken"
"afb","QA","Arabic, Gulf Spoken"
"afb","SA","Arabic, Gulf Spoken"
"afb","YE","Arabic, Gulf Spoken"
"afd","PG","Andai"
"afe","NG","Utugwang-Irungene-Afrike"
"afg","AF","Afghan Sign Language"
"afi","PG","Akrukay"
"afk","PG","Nanubae"
"afn","NG","Defaka"
"afo","NG","Eloyi"
"afp","PG","Tapei"
"afr","BW","Afrikaans"
"afr","MW","Afrikaans"
"afr","NA","Afrikaans"
"afr","SZ","Afrikaans"
"afr","ZA","Afrikaans"
"afr","ZM","Afrikaans"
"afs","MX","Afro-Seminole Creole"
"afs","US","Afro-Seminole Creole"
"aft","SD","Afitti"
"afu","GH","Awutu"
"afz","ID","Obokuitai"
"aga","PE","Aguano"
"agb","NG","Legbo"
"agc","NG","Agatu"
"agd","PG","Agarabi"
"age","PG","Angal"
"agf","ID","Arguni"
"agg","PG","Angor"
"agh","CD","Ngelima"
"agi","IN","Agariya"
"agj","ET","Argobba"
"agk","PH","Agta, Isarog"
"agl","PG","Fembe"
"agm","PG","Angaataha"
"agn","PH","Agutaynen"
"ago","PG","Tainae"
"agq","CM","Aghem"
"agr","PE","Aguaruna"
"ags","CM","Esimbi"
"ags","NG","Esimbi"
"agt","PH","Agta, Central Cagayan"
"agu","GT","Awakateko"
"agv","PH","Dumagat, Remontado"
"agw","SB","Kahua"
"agx","RU","Aghul"
"agy","PH","Alta, Southern"
"agz","PH","Agta, Mt. Iriga"
"aha","GH","Ahanta"
"ahb","VU","Axamb"
"ahg","ET","Qimant"
"ahh","ID","Aghu"
"ahi","CI","Aizi, Tiagbamrin"
"ahk","CN","Akha"
"ahk","LA","Akha"
"ahk","MM","Akha"
"ahk","TH","Akha"
"ahk","VN","Akha"
"ahl","TG","Igo"
"ahm","CI","Aizi, Mobumrin"
"ahn","NG","Àhàn"
"aho","IN","Ahom"
"ahp","CI","Aizi, Aproumu"
"ahr","IN","Ahirani"
"ahs","NG","Ashe"
"aht","US","Ahtena"
"aia","SB","Arosi"
"aib","CN","Ainu"
"aic","PG","Ainbai"
"aid","AU","Alngith"
"aie","PG","Amara"
"aif","PG","Agi"
"aig","AG","Antigua and Barbuda Creole English"
"aig","AI","Anguillan Creole English"
"aig","DM","Kokoy Creole English"
"aig","KN","Saint Kitts Creole English"
"aig","MF","Simaatn Creole English"
"aig","MS","Montserrat Creole English"
"aig","SX","Simaatn Creole English"
"aih","CN","Ai-Cham"
"aii","AM","Assyrian Neo-Aramaic"
"aii","GE","Assyrian Neo-Aramaic"
"aii","IQ","Assyrian Neo-Aramaic"
"aii","IR","Assyrian Neo-Aramaic"
"aii","SY","Assyrian Neo-Aramaic"
"aij","IL","Lishanid Noshan"
"aik","NG","Ake"
"ail","PG","Aimele"
"aim","IN","Aimol"
"ain","JP","Ainu"
"aio","IN","Aiton"
"aip","ID","Burumakok"
"aiq","AF","Aimaq"
"aiq","IR","Aimaq"
"air","ID","Airoran"
"ais","TW","Amis, Nataoran"
"ait","BR","Arikem"
"aiw","ET","Aari"
"aix","PG","Aighon"
"aiy","CF","Ali"
"aja","SS","Aja"
"ajg","BJ","Aja"
"ajg","TG","Aja"
"aji","NC","Ajië"
"ajn","AU","Andajin"
"ajp","IL","Arabic, South Levantine Spoken"
"ajp","JO","Arabic, South Levantine Spoken"
"ajp","PS","Arabic, South Levantine Spoken"
"ajt","IL","Arabic, Judeo-Tunisian"
"ajt","TN","Arabic, Judeo-Tunisian"
"aju","IL","Arabic, Judeo-Moroccan"
"aju","MA","Arabic, Judeo-Moroccan"
"ajw","NG","Ajawa"
"ajz","IN","Amri Karbi"
"aka","GH","Akan"
"akb","ID","Batak Angkola"
"akc","ID","Mpur"
"akd","NG","Ukpet-Ehom"
"ake","BR","Ingarikó"
"ake","GY","Akawaio"
"ake","VE","Akawaio"
"akf","NG","Akpa"
"akg","ID","Anakalangu"
"akh","PG","Angal Heneng"
"aki","PG","Aiome"
"akj","IN","Aka-Jeru"
"akl","PH","Inakeanon"
"akm","IN","Aka-Bo"
"ako","SR","Akurio"
"akp","GH","Siwu"
"akq","PG","Ak"
"akr","VU","Araki"
"aks","TG","Akaselem"
"akt","PG","Akolet"
"aku","CM","Akum"
"aku","NG","Akum"
"akv","AZ","Akhvakh"
"akv","RU","Akhvakh"
"akw","CG","Akwa"
"akx","IN","Aka-Kede"
"aky","IN","Aka-Kol"
"akz","US","Alabama"
"ala","NG","Alago"
"alc","CL","Qawasqar"
"ald","CI","Alladian"
"ale","RU","Aleut"
"ale","US","Aleut"
"alf","NG","Alege"
"alh","AU","Alawa"
"ali","PG","Amaimon"
"alj","PH","Alangan"
"alk","LA","Alak"
"all","IN","Allar"
"alm","VU","Amblong"
"aln","AL","Albanian, Gheg"
"aln","XK","Albanian, Gheg"
"aln","BG","Albanian, Gheg"
"aln","ME","Albanian, Gheg"
"aln","MK","Albanian, Gheg"
"aln","RO","Albanian, Gheg"
"aln","RS","Albanian, Gheg"
"aln","SI","Albanian, Gheg"
"alo","ID","Larike-Wakasihu"
"alp","ID","Alune"
"alq","CA","Algonquin"
"alr","RU","Alutor"
"als","AL","Albanian, Tosk"
"als","XK","Albanian, Tosk"
"als","GR","Albanian, Tosk"
"als","TR","Albanian, Tosk"
"alt","RU","Altai, Southern"
"alu","SB","'Are'are"
"alw","ET","Alaba-K'abeena"
"alx","PG","Amol"
"aly","AU","Alyawarr"
"alz","CD","Alur"
"alz","UG","Alur"
"ama","BR","Amanayé"
"amb","NG","Ambo"
"amc","BR","Amahuaca"
"amc","PE","Amahuaca"
"ame","PE","Yanesha'"
"amf","ET","Hamer-Banna"
"amg","AU","Amurdak"
"amh","ET","Amharic"
"amh","IL","Amharic"
"ami","TW","Amis"
"amj","TD","Amdang"
"amk","ID","Ambai"
"aml","BD","War-Jaintia"
"aml","IN","War-Jaintia"
"amm","PG","Ama"
"amn","PG","Amanab"
"amo","NG","Amo"
"amp","PG","Alamblak"
"amq","ID","Amahai"
"amr","PE","Amarakaeri"
"ams","JP","Amami-Oshima, Southern"
"amt","PG","Amto"
"amu","MX","Amuzgo, Guerrero"
"amv","ID","Ambelau"
"amw","SY","Western Neo-Aramaic"
"amx","AU","Anmatyerre"
"amy","AU","Ami"
"amz","AU","Atampaya"
"ana","CO","Andaqui"
"anb","PE","Andoa"
"anc","NG","Ngas"
"and","ID","Ansus"
"ane","NC","Xârâcùù"
"anf","GH","Animere"
"anh","PG","Nend"
"ani","RU","Andi"
"anj","PG","Anor"
"ank","NG","Goemai"
"anl","MM","Chin, Anu-Hkongso"
"anm","IN","Anal"
"anm","MM","Anal"
"ann","NG","Obolo"
"ano","CO","Andoque"
"anp","IN","Angika"
"anp","NP","Angika"
"anq","IN","Jarawa"
"anr","IN","Andh"
"ans","CO","Anserma"
"ant","AU","Antakarinya"
"anu","ET","Anuak"
"anu","SS","Anuak"
"anv","CM","Denya"
"anw","NG","Anaang"
"anx","PG","Andra-Hus"
"any","CI","Anyin"
"any","GH","Anyin"
"anz","PG","Anem"
"aoa","ST","Angolar"
"aob","PG","Abom"
"aoc","BR","Pemon"
"aoc","GY","Pemon"
"aoc","VE","Pemon"
"aod","PG","Andarum"
"aoe","PG","Angal Enen"
"aof","PG","Bragat"
"aog","PG","Angoram"
"aoh","CO","Arma"
"aoi","AU","Anindilyakwa"
"aoj","PG","Mufian"
"aok","NC","Arhö"
"aol","ID","Alor"
"aom","PG","Ömie"
"aon","PG","Arapesh, Bumbita"
"aor","VU","Aore"
"aos","ID","Taikat"
"aot","BD","A'tong"
"aot","IN","A'tong"
"aou","CN","A'ou"
"aox","BR","Atorada"
"aox","GY","Atorada"
"aoz","ID","Uab Meto"
"apb","SB","Sa'a"
"apc","LB","Arabic, North Levantine Spoken"
"apc","SY","Arabic, North Levantine Spoken"
"apd","ER","Arabic, Sudanese Spoken"
"apd","SD","Arabic, Sudanese Spoken"
"apd","SS","Arabic, Sudanese Spoken"
"ape","PG","Bukiyip"
"apf","PH","Agta, Pahanan"
"apg","ID","Ampanang"
"aph","NP","Athpariya"
"api","BR","Apiaká"
"apj","US","Apache, Jicarilla"
"apk","US","Apache, Kiowa"
"apl","US","Apache, Lipan"
"apm","US","Apache, Mescalero-Chiricahua"
"apn","BR","Apinayé"
"apo","PG","Ambul"
"app","VU","Apma"
"apq","IN","A-Pucikwar"
"apr","PG","Arop-Lokep"
"aps","PG","Arop-Sissano"
"apt","IN","Apatani"
"apu","BR","Apurinã"
"apw","US","Apache, Western"
"apx","ID","Aputai"
"apy","BR","Apalaí"
"apz","PG","Safeyoka"
"aqc","RU","Archi"
"aqd","ML","Dogon, Ampari"
"aqg","NG","Arigidi"
"aqm","ID","Atohwaim"
"aqn","PH","Alta, Northern"
"aqr","NC","Arhâ"
"aqz","BR","Akuntsu"
"ara","SA","Arabic"
"arb","AE","Arabic, Standard"
"arb","BH","Arabic, Standard"
"arb","DJ","Arabic, Standard"
"arb","DZ","Arabic, Standard"
"arb","EG","Arabic, Standard"
"arb","EH","Arabic, Standard"
"arb","ER","Arabic, Standard"
"arb","IL","Arabic, Standard"
"arb","IQ","Arabic, Standard"
"arb","JO","Arabic, Standard"
"arb","KM","Arabic, Standard"
"arb","KW","Arabic, Standard"
"arb","LB","Arabic, Standard"
"arb","LY","Arabic, Standard"
"arb","MA","Arabic, Standard"
"arb","MR","Arabic, Standard"
"arb","OM","Arabic, Standard"
"arb","PS","Arabic, Standard"
"arb","QA","Arabic, Standard"
"arb","SA","Arabic, Standard"
"arb","SD","Arabic, Standard"
"arb","SO","Arabic, Standard"
"arb","SY","Arabic, Standard"
"arb","TD","Arabic, Standard"
"arb","TN","Arabic, Standard"
"arb","TZ","Arabic, Standard"
"arb","YE","Arabic, Standard"
"ard","AU","Arabana"
"are","AU","Arrarnta, Western"
"arg","ES","Aragonese"
"arh","CO","Arhuaco"
"ari","US","Arikara"
"arj","BR","Arapaso"
"ark","BR","Arikapú"
"arl","PE","Arabela"
"arn","AR","Mapudungun"
"arn","CL","Mapudungun"
"aro","BO","Araona"
"arp","US","Arapaho"
