id***	10	description[@type='usfm' and @subType='x-id']
ide	50	description[@type='usfm' and @subType='x-ide']
h	50	title[@short='---']
h1	50	title[@short='---']
h2	50	"title[@type=""runningHead"" and placement=""insideHead"" and @short='---']"
h3	50	"title[@type=""runningHead"" and placement=""outsideHead"" and @short='---']"
rem	50	"description[@type=""usfm"" and subType=""x-rem""]"
restore	50	"description[@type=""usfm"" and subType=""x-restore""]"
imt	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]/title[@type=""main""]/title[@level=""1""]"
imt1	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]/title[@type=""main""]/title[@level=""1""]"
imt2	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]/title[@type=""main""]/title[@level=""2""]"
imt3	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]/title[@type=""main""]/title[@level=""3""]"
imt4	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]/title[@type=""main""]/title[@level=""4""]"
imte	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]/title[@type=""main""]/title[@level=""1""]"
is	"50,55,60"	"div[@type=""introduction"" and @canonical=""false""]/div[@type=""section""]/title"
is1	"50,55,60"	"div[@type=""introduction"" and @canonical=""false""]/div[@type=""section""]/title"
is2	"50,55,56,60"	"div[@type=""introduction"" and @canonical=""false""]/div[@type=""section""]/div[@type=""subSection""]/title"
iot	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]//div[@type=""outline""]/title"
io1	"50,60,61,62"	"div[@type=""introduction"" and @canonical=""false""]//div[@type=""outline""]/list/item"
io2	"50,60,61,62, 63,64"	"div[@type=""introduction"" and @canonical=""false""]//div[@type=""outline""]/list/item/list/item"
io3	"50,60,61,62, 63,64,65,66"	"div[@type=""introduction"" and @canonical=""false""]//div[@type=""outline""]/list/item/list/item/list/item"
io4	"50,60,61,62, 63,64,65,66, 67,68"	"div[@type=""introduction"" and @canonical=""false""]//div[@type=""outline""]/list/item/list/item/list/item/list/item"
ior	"50,60,61,62,90"	"div[@type=""introduction"" and @canonical=""false""]//div[@type=""outline""]/list/item/reference"
ip	"50,60"	"div[@type=""introduction"" and @canonical=""false""]//p"
im	"50,60"	"div[@type=""introduction"" and @canonical=""false""]//p[@type=""x-continued""]"
ipi	"50,60,61,62"	"div[@type=""introduction"" and @canonical=""false""]//list/item/p"
imi	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]//list/item"
ipq	"50,60,70"	"div[@type=""introduction"" and @canonical=""false""]//q/p"
imq	"50,60"	"div[@type=""introduction"" and @canonical=""false""]//q"
ipr	"50,90"	"div[@type=""introduction"" and @canonical=""false""]//reference"
ib***		See notes below on \m and \b
iq	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]//lg/l[@level=""1""]"
iq1	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]//lg/l[@level=""1""]"
iq2	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]//lg/l[@level=""2""]"
iq3	"50,60,61"	"div[@type=""introduction"" and @canonical=""false""]//lg/l[@level=""3""]"
iex	55	"div[@type=""bridge""]"
c***		chapter\@osisID and chapter\@n
ca	50	"chapter[n=""---"" and @type=""x-alternate"""
cp	50	"chapter[n=""---"" and @type=""x-publishable""]"
cl	50	"title[@type=""chapter""]"
cd	50	"title[@type=""x-description""]"
v***		verse\@osisID and verse\@n
va	90	"verse[n=""---"" and @type=""x-alternate""]"
vp	90	"verse[n=""---"" and @type=""x-publishable""]"
p	50	p
m	50	"p[@type=""x-continued""]"
pmo	"50,70"	"q[@type=""embedded""]/salute"
pm	"50,70"	"q[@type=""embedded""]/p"
pmc	"50,70"	"q[@type=""embedded""]/closer"
pmr	"50,70"	"q[@type=""embedded""]/p[@type=""x-refrain""]"
pi	"50,65,66"	list/item/p
pi1	"50,65,66"	list/item/p
pi2	"50,65,66,67, 68"	list/item/list/item/p
pi3	"50,65,66,67, 68,69,70"	list/item/list/item/list/item/p
ph	"50,65"	list/item
ph1	"50,65"	list/item
ph2	"50,65,66,67"	list/item/list/item
ph3	"50,65,66,67,68,69"	list/item/list/item/list/item
pc	50	inscription
pr	50	"p[@type=""x-refrain""]"
mi	"50,70"	"q[@type=""embedded""]/p[@type=""x-continued""]"
nb	50	"p[@type=""x-continued"" and @subType=""x-nb""]"
cls	50	closer
